Var1,Node_contributions
x25130_2_0,63.2809665412613
x25131_2_0,53.1172580401295
x25132_2_0,48.7281459089935
x25133_2_0,41.8621772095675
x25134_2_0,44.4264692266145
x25135_2_0,27.5120807108732
x25136_2_0,73.1134998606439
x25137_2_0,63.3131575898392
x25138_2_0,47.0344989370788
x25139_2_0,45.2461862242266
x25140_2_0,30.6413518900492
x25141_2_0,24.8813411559083
x25142_2_0,41.1128044490412
x25143_2_0,27.5298922421783
x25144_2_0,57.6308480619951
x25145_2_0,51.8557386602422
x25146_2_0,76.7806199114389
x25147_2_0,81.021634611321
x25148_2_0,27.9247403559787
x25149_2_0,24.1610285857884
x25150_2_0,28.046531518169
x25151_2_0,21.1682627713766
x25152_2_0,4.3213408108721
x25153_2_0,10.0697561213032
x25154_2_0,21.4947606810988
x25155_2_0,38.3591169034307
x25156_2_0,11.5420568003685
x25157_2_0,30.6242160861011
x25158_2_0,3.37766166669575
x25159_2_0,4.13607023810082
x25160_2_0,6.86948516690168
x25161_2_0,6.09988655994462
x25162_2_0,5.47480587215502
x25163_2_0,3.35743688192056
x25164_2_0,13.8482759758557
x25165_2_0,18.2127089071726
x25166_2_0,11.0304039174789
x25167_2_0,10.892824218302
x25168_2_0,18.3050122830392
x25169_2_0,19.1289704499635
x25170_2_0,23.2594050122187
x25171_2_0,21.7112641321108
x25172_2_0,8.00780955183923
x25173_2_0,6.72844969491737
x25174_2_0,9.79828327904822
x25175_2_0,8.90268356652129
x25176_2_0,16.9036515737484
x25177_2_0,20.8310075371916
x25178_2_0,19.2539363769338
x25179_2_0,17.9658673072582
x25180_2_0,19.6927374707886
x25181_2_0,11.9839613745845
x25182_2_0,8.09687890389394
x25183_2_0,11.1194249771349
x25184_2_0,11.6686715535835
x25185_2_0,9.12841451320615
x25186_2_0,12.8213420898261
x25187_2_0,10.9694229423372
x25188_2_0,3.06184740546883
x25189_2_0,3.8025124035257
x25190_2_0,5.94633431220334
x25191_2_0,7.38731873715911
x25192_2_0,5.12405331357095
x25193_2_0,5.78884136957581
x25194_2_0_1,7.41852020197931
x25195_2_0,14.4390636663939
x25196_2_0,10.9245574059474
x25197_2_0,3.79914965365023
x25198_2_0,5.08813596527743
x25199_2_0,13.458286667084
x25200_2_0,6.60689111954447
x25201_2_0,10.8387064079201
x25202_2_0,25.3429507000421
x25203_2_0,23.5802855410795
x25204_2_0,15.771024847242
x25205_2_0,40.700138806419
x25206_2_0,10.9022791839872
x25207_2_0,6.94137093461588
x25208_2_0,4.1791497680429
x25209_2_0,7.37963387512788
x25210_2_0,4.18208781899311
x25211_2_0,9.44917871706615
x25212_2_0,3.53590420284079
x25213_2_0,3.49479281168388
x25214_2_0,6.15996449414722
x25215_2_0,9.02933777769079
x25216_2_0,38.5386005137827
x25217_2_0,44.4231823230985
x25218_2_0,30.4442900390906
x25219_2_0,20.7685579979993
